Start time,End time,Language code,Confidence,Channel,Speaker tag,Transcript
2.800,14.500,en-us,0.96046,,1,"Can you just speak to what it takes for great engineering team for you? What I saw in Memphis the supercomputer cluster is just this intense drive towards simplifying the"
15.400,18.100,en-us,0.84458,,1," process of the process of constantly improving it constantly iterating it."
22.900,29.300,en-us,0.82285,,2," Well, these are to say simplify as vertical to do it."
32.700,41.800,en-us,0.88606,,2," You know how this very basic first basic first principles algorithm that I run kind of as like a mantra which is the first question the requirements make the requirements."
44.300,48.900,en-us,0.72278,,2," The requirements always down to some degree. So if you want to Sorrow by reducing the number of requirements."
49.900,55.200,en-us,0.56077,,2," And nobody how smart person is gave you those requirements this little dumb just under three."
56.800,61.000,en-us,0.88799,,2," If you have to start there because otherwise you could get the perfect answer to the wrong question."
62.100,64.800,en-us,0.90296,,2," Though so try to make the question the least wrong possible. That's what"
65.700,71.100,en-us,0.89358,,2," question that requirements means and then the second thing is try to delete the"
72.600,78.200,en-us,0.92191,,2," whatever these step is the part or the process step sounds very obvious, but"
79.200,80.600,en-us,0.96355,,2," people"
81.800,85.000,en-us,0.91354,,2," often forget to do to try to delete it entirely and"
85.400,94.700,en-us,0.89003,,2," if you're not forced to put back at least 10% of what you delete, you're not deleting enough like it's an and it's a some illogically people often."
95.800,106.800,en-us,0.94167,,2," Most the time feel as though they have succeeded if they have not been forced to put their put things back in but actually they haven't because they've been overly conservative and have left things in there. That shouldn't be"
108.400,111.300,en-us,0.94121,,2," so and only the third thing is try to"
112.700,114.000,en-us,0.93729,,2," optimize it or simplify it."
117.600,135.900,en-us,0.85289,,2," And it sounds just these all sound I think very very obvious when I say them but the number of times I've made these mistakes is more than I care to remember. That's why I have a sponsor. So in fact, I'd say the most common mistake of smart Engineers is to optimize a thing. That should not exist."
137.000,149.000,en-us,0.85389,,1," Right. So you like did you say you run through the algorithm? Yeah, basically shoot show up to a problem show up to the super computer cluster and see the process and ask can this be deleted?"
150.500,151.300,en-us,0.91663,,2," Try to delete it."
152.300,152.900,en-us,0.90827,,2," Yeah."
154.100,158.000,en-us,0.93553,,2," Yeah, that's not easy to do know and actually this."
159.100,162.400,en-us,0.91435,,2," What generally makes people uneasy is that you've got to delete at least?"
162.800,162.900,en-us,0.82969,,2," things"
163.600,165.700,en-us,0.95029,,2," that you delete you will put back in. Yeah,"
165.700,166.300,en-us,0.95029,,1," but"
166.300,180.400,en-us,0.95029,,2," going back to sort of where Olympics system can steer us wrong is that we tend to remember with it. Sometimes a jarring level of pain where we where we deleted something that we subsequently needed."
181.900,188.500,en-us,0.95928,,2," And so people will remember that one time they've got to put in this thing three years ago, and that caused them trouble."
189.500,194.000,en-us,0.87569,,2," And so they overcorrect and then they put too much stuff in their over complicated things."
195.000,197.700,en-us,0.76606,,2," So he actually have to say in a word deliberately gonna delete more."
199.600,204.700,en-us,0.84269,,2," Than we we should so that we're putting at least one in 10 things. We're going to add back in."
206.800,213.200,en-us,0.91606,,1," And I've seen you suggest just that that something should be deleted and you can kind of see the the pain."
